text,index_name,grid,x,y,angle,size,easting,northing
TOWN HALL,Town Hall,C4,397.7,554.2,0,9.4,583083.9,4095167.2
DINING COMMONS,Dining Commons,C6,381.2,961.1,-11,9.4,583109.3,4094648.7
MARY PORTER SESNON GALLERY,Mary Porter Sesnon Gallery,C6,414.5,1030.9,0,10.4,583166.5,4094529.6
VISUAL ARTS RESEARCH CENTER,Visual Arts Research Center,C7,538.1,1106.6,0,10.4,583308.8,4094415.9
WEST FIELDHOUSE,West Field House,C7,505.4,1189.1,0,9.4,583279.2,4094324.6
DINING HALL,Dining Hall,C8,382.2,1218.2,0,8.3,583158.8,4094293.8
STUDENT COMMONS,Student Commons,C8,452.6,1216.3,0,8.3,583225.5,4094304.6
LEARNING CENTER,Learning Center,C9,532.4,1422.7,0,9.4,583329.2,4094034.5
GIFT SHOP,Gift Shop,D12,660.0,1994.8,0,10.4,583497.9,4093311.7
ENGINEERING 2,Engineering 2,D2,599.2,379.7,5,10.4,583369.1,4095392.5
BASKIN ENGINEERING,Baskin Engineering,D3,586.9,428.5,6,10.4,583353.9,4095322.3
BASKIN ENGINEERING AUDITORIUM,Baskin Engineering Auditorium,D3,621.4,474.3,0,8.3,583404.0,4095268.5
PHYSICAL SCIENCES,Physical Sciences Building,D3,671.5,503.2,0,10.4,583457.4,4095241.3
SINSHEIMER LABS,Sinsheimer Laboratories,D4,687.0,577.7,90,9.4,583490.3,4095146.8
THIMANN LABS,Thimann Laboratories,D4,663.6,627.3,0,10.4,583460.0,4095076.7
EXPERIMENTAL THEATER,Experimental Theater,D5,640.7,841.9,0,10.4,583469.0,4094756.9
KERR HALL,Kerr Hall,D5,666.1,728.2,14,10.4,583462.0,4094947.5
MEDIA THEATER,Media Theater,D5,688.3,862.9,0,10.4,583495.2,4094755.8
2ND STAGE,2nd Stage,D6,671.9,936.7,13,7.8,583486.3,4094673.7
MAINSTAGE,Mainstage,D6,631.3,923.6,13,10.4,583439.2,4094707.2
OFFICES,Offices,D6,660.5,959.7,13,8.3,583464.6,4094662.8
HORTICULTURE 1,Horticulture 1,E12,771.5,1881.1,0,10.4,583631.6,4093469.7
HEAT PLANT,Heat Plant,E2,750.4,376.7,-68,9.4,583559.8,4095402.5
BIOMEDICAL SCIENCES,Biomedical Sciences,E3,730.2,485.3,-71,9.4,583542.3,4095258.7
COMMUNICATIONS BUILDING,Communications Bldg,E3,712.6,441.0,0,7.8,583515.2,4095320.8
SCIENCE & ENGINEERING LIBRARY,Science & Engineering Library,E3,753.9,545.6,-51,9.4,583568.5,4095190.3
CENTER FOR ADAPTIVE OPTICS,Center for Adaptive Optics,E4,774.8,658.4,0,8.3,583597.0,4095085.5
NATURAL SCIENCES 2,Natural Sciences 2,E4,774.4,594.9,0,10.4,583598.3,4095123.7
NS 2 ANNEX,NS 2 Annex,E4,712.7,601.4,0,8.3,583540.9,4095113.8
